01v21_v89t_gq3008s,alps 01v21_v89t_gq3008s mt6589 N9599T,Alps N9599T
aljeter,qcom moto g(6) play aljeter motorola,Motorola moto g(6) play
AllCall_Alpha,mt6580 AllCall_Alpha AllCall,AllCall_Alpha
Allure_M1,Allure_M1 Condor SPA Condor Electronics mt6755 Allure M1,SPA Condor Electronics Allure M1
Allure_M2,Allure_M2 Condor SPA Condor Electronics Allure M2 mt6757,SPA Condor Electronics Allure M2
Allview_Viva_H8,mt8389 Allview Allview_Viva_H8,Allview_Viva_H8
along27_tb_c_kk,alps Azimuth Azimuth M705 mt8127 along27_tb_c_kk,Alps Azimuth M705
Alpha,mt6757 Alpha MAZE,MAZE Alpha
alps,alps sprout Lenovo A536 mediatek full_alps lenovo,Mediatek Lenovo A536
altev,VK810 4G altev LGE altev_vzw lge,LGE VK810 4G
Alto45,Alto45 qcom 5042A TCL,TCL 5042A
ALTO45TMO,ALTO45_TMOUS ALTO45TMO mt6752 5042T TCL,TCL 5042T
Alto4NA,qcom A521L Alto4NA TCL,TCL A521L
alto5,qcom alto5 TCL 7043K,TCL 7043K
alto5_sporty,qcom 7048A TCL alto5_sporty,TCL 7048A
ALUMINI,mt6580 ALUMINI,ALUMINI
Alumini3,mt6580 Alumini3 Kempler,Kempler Alumini3
AM3,amlogic Ugoos-AM3 AM3 Amlogic Ugoos,Amlogic Ugoos-AM3
AM350,mt6580 AMGOO AM350,AMGOO AM350
AM402,AMGOO sc7731c AM402,AMGOO AM402
AM450,AMGOO AM450 sc7731c,AMGOO AM450
AM508,AMGOO rs614 AM508,AMGOO AM508
AM509-A,AMGOO AM509 mt6735 AM509-A,AMGOO AM509
AM527,AMGOO mt6735 AM527,AMGOO AM527
AM530,AM530 AMGOO mt6735,AMGOO AM530
amami,Sony D5503 Xperia Z1 Compact qcom amami,Sony Xperia Z1 Compact
amazing,amazing samsung GT-S6802 Samsung bcm21553,Samsung GT-S6802
amazingtrf,samsung qcom amazingvl amazingtrf SGH-S730M,Samsung SGH-S730M
AMIGOO R300 X,AMIGOO AMIGOO R300 X mt6580,AMIGOO R300 X
AMIGOO R300,mt6580 AMIGOO R300,AMIGOO R300
ancora,cm_ancora qcom GT-I8150 ancora Samsung,Samsung GT-I8150
ancora_tmo,ancora_tmo qcom SGH-T679 cm_ancora_tmo Samsung,Samsung SGH-T679
Andi4H_Tiger+,Andi4H_Tiger+ mt6582 iball iBall,IBall Andi4H_Tiger+
Android,mt6580 Gravity__Z1 Gravity Z1 Android,Gravity__Z1 Gravity Z1
android_4x_wet_jb5,XK android_4x_wet_jb5 Lenovo A526 Samsung mt6582,Samsung Lenovo A526
android_4x_wet_kk,H900 alps mt6592 android_4x_wet_kk,Alps H900
android_x86,Aspire one       cm_android_x86 android_x86 Android-x86 Acer,Acer       Aspire one
android_x86_64,android_x86_64 Android-x86 LENOVO cm_android_x86_64 2522W19,LENOVO 2522W19
AndyAC4EI,Movistar Mobiwire Yezz-AC4EI AndyAC4EI mt6572,Movistar Yezz-AC4EI
AndyC4E,AndyC4E YEZZ ANDY_C4E mt6572,YEZZ ANDY_C4E
AndyWin,AndyWin AndyOS AndyOS  Inc. andy,AndyOS  Inc. AndyWin
ANDY_4EI2,ANDY_4EI2 YEZZ mt6572,YEZZ ANDY_4EI2
angler,Google Nexus 6P angler Huawei,Huawei Nexus 6P
angus3A4,Lenovo Lenovo A2020a40 LENOVO qcom angus3A4,Lenovo A2020a40
angus3A41,Lenovo Lenovo A2020a40 LENOVO qcom angus3A41,Lenovo A2020a40
ansonR101,mt8163 H106H15 anson ansonR101,Anson H106H15
anzu,anzu Sony Ericsson semc SEMC LT18i,Sony Ericsson LT18i
AP200,rk30board AP200 Hidizs,Hidizs AP200
apexqtmo,SGH-T699 samsung apexqtmo qcom,Samsung SGH-T699
apollo-cam,apollo_cam GV-17 apollo-cam sun4i softwinners unknown,Unknown GV-17
apollo-mele,apollo-mele MC100 sun4i apollo_mele softwinners unknown,Unknown MC100
apollo-zhpubhost,zhpubhost-A10-APOLLO apollo_zhpubhost sun4i softwinners unknown apollo-zhpubhost,Unknown zhpubhost-A10-APOLLO
apollo,qcom aosp_apollo apollo Foxconn Amazon Kindle Fire HDX 8.9,Foxconn Kindle Fire HDX 8.9
apollo_lite,Apollo Lite apollo_lite full_apollo_lite mt6797 Vernee,Vernee Apollo Lite
apollo_mele,Rikomagic MK802II sun4i apollo_mele softwinners unknown,Unknown Rikomagic MK802II
Apple,iPhone Apple lPHONE mt6571,Apple iPhone
AQ4501_sprout,Micromax sprout Micromax AQ4501 AQ4501_sprout AQ4501 google,Micromax AQ4501
AQ4502_sprout,Micromax Micromax AQ4502 sprout AQ4502_sprout google AQ4502,Micromax AQ4502
AQ5001,Micromax Micromax AQ5001 AQ5001 mt6582,Micromax AQ5001
Aqua Air II,Aqua Air II Intex mt6572,Intex Aqua Air II
Aqua Fish,Intex Aqua Fish Aqua Fish Intex unknown,Intex Aqua Fish
Aqua Strong 5.1,mt6735 Intex full_wt6735m_65u_sz_m0 INTEX Aqua Strong 5.1,Intex Aqua Strong 5.1
Aqua Twist,Aqua Twist mt6580 Intex,Intex Aqua Twist
aqua,aqua Xiaomi qcom MI 4S,Xiaomi MI 4S
Aquaris_A45_sprout,Aquaris_A45_sprout mt6735 Aquaris_A45 Aquaris_A4.5 bq,Bq Aquaris_A4.5
Aquaris_E4,Aquaris_E4 Aquaris E4 mt6582 bq,Bq Aquaris E4
Aquaris_E45,Aquaris E4.5 mt6582 Aquaris_E45 bq,Bq Aquaris E4.5
Aquaris_E5,qcom Aquaris E5 Aquaris_E5 bq,Bq Aquaris E5
Aquaris_E5_FHD,Aquaris_E5_FHD mt6592 Aquaris E5 FHD bq,Bq Aquaris E5 FHD
Aquaris_E5_HD,Aquaris E5 HD Aquaris_E5_HD mt6582 bq,Bq Aquaris E5 HD
Aquaris_M10,Aquaris M10 mt8163 Aquaris_M10 bq,Bq Aquaris M10
Aquaris_M10_FHD,Aquaris_M10_FHD mt8163 Aquaris M10 FHD bq,Bq Aquaris M10 FHD
Aquaris_M45,Aquaris_M4.5 Aquaris_M45 mt6735 bq,Bq Aquaris_M4.5
Aquaris_M5,Aquaris_M5 qcom Aquaris M5 bq,Bq Aquaris M5
Aquaris_X5,qcom Aquaris X5 Aquaris_X5 bq,Bq Aquaris X5
Aquaris_X5_Plus,qcom Aquaris_X5_Plus Aquaris X5 Plus bq,Bq Aquaris X5 Plus
AQUA_CRYSTAL_PLUS,AQUA_CRYSTAL_PLUS INTEX AQUA CRYSTAL+ mt6735 INTEX,INTEX AQUA CRYSTAL+
Aqua_Power_HD,mt6592 Intex Aqua_Power_HD,Intex Aqua_Power_HD
Aqua_Pro,Aqua Pro sc8830 Intex Aqua_Pro,Intex Aqua Pro
Aqua_Q7,sc8830 Intex sp7731geahdplusoversea Aqua_Q7,Intex Aqua_Q7
Aqua_Supreme_Plus,Aqua_Supreme_Plus mt6735 Intex Intex Aqua Supreme+,Intex Aqua Supreme+
Aqua_Viturbo,Aqua_Viturbo sc8830 INTEX sp7731geaplus_dt_oversea,INTEX Aqua_Viturbo
Aqua_Xtreme_II,mt6592 Intex_Aqua_Xtreme_II Aqua_Xtreme_II Intex,Intex_Aqua_Xtreme_II
ara,ara qcom cm_ara Nokia,Nokia ara
arbutus,aosp_arbutus V50T-1R UHD MStar MStar Semiconductor  Inc. arbutus monet,MStar Semiconductor  Inc. V50T-1R UHD
Arctic450,Arctic450 Oysters scx15,Oysters Arctic450
argon,qcom argonglobal blackberry BlackBerry BBA100-2 argon,BlackBerry BBA100-2
ariel,ariel Fire HD6 google amzn cm_ariel mt8135,Amzn Fire HD6
aries,Xiaomi qcom aries MI 2S,Xiaomi MI 2S
ariesve,slim_ariesve qcom GT-I9001 ariesve Samsung,Samsung GT-I9001
ARK,Ark Electronic Technology qcom ARK ARK Benefit A3,Ark Electronic Technology ARK Benefit A3
ARK_Benefit_M2C,Ark_Electronic_Technology ARK_Benefit_M2C scx15,Ark_Electronic_Technology ARK_Benefit_M2C
armani,HM 1SW Xiaomi armani,Xiaomi HM 1SW
armani_row,Lenovo LENOVO qcom armani_row Lenovo A706_ROW,Lenovo A706_ROW
Armor,Ulefone Armor MT6753 ulefone,Ulefone Armor
Armor_2,Ulefone Armor_2 mt6757,Ulefone Armor_2
Art-PCB-V116,mt6735 Art-PCB-V116 PCBOX,PCBOX Art-PCB-V116
aruba3gchn,samsung qcom HUAWEI RIO-CL00 aruba3gzc aruba3gchn HUAWEI,HUAWEI RIO-CL00
arubaslim,samsung arubaslim Samsung MSM8674AB Gt-i8262,Samsung Gt-i8262
arubaslimss,arubaslimssub samsung arubaslimss qcom GT-I8260L,Samsung GT-I8260L
Aspire 1c,Aspire 1c mt6572,Aspire 1c
ASSISTANT,AP-777G alps mt8312c ASSISTANT,Alps AP-777G
astar-86v2g,sun8i softwinner astar-86v2g ULTRA astar_86v2g,Softwinner ULTRA
astar-d7,astar-d7 astar_d7 sun8i QuadCore-R16 Allwinner,Allwinner QuadCore-R16
astar-ibt,KLIPAD_SMART_I745 sun8i astar-ibt Allwinner astar_ibt,Allwinner KLIPAD_SMART_I745
astar-inet,astar-inet sun8i astar_inet Allwinner KLIPAD_SMART_l745,Allwinner KLIPAD_SMART_l745
astar-m739,astar_m739 astar-m739 M739 sun8i Allwinner Mikona,Allwinner Mikona
astar-m86esp8089HD,astar-m86esp8089HD T7 astar_m86esp8089HD sun8i LOGIC,LOGIC T7
astar-m960,EZee-Tab96Q10-M sun8i astar-m960 Storex astar_m960,Storex EZee-Tab96Q10-M
astar-y3,sun8i V11 astar-y3 softwinner astar_y3 Allwinner,Softwinner V11
astar-yh,astar-yh sun8i astar_yh QUAD-CORE A33 yh Allwinner,Allwinner QUAD-CORE A33 yh
Astro_5N_LTE,Astro_5N_LTE sp9832a_2h11 Maxwest,Maxwest Astro_5N_LTE
asuka_cheets,Dell Chromebook 13 3380 asuka google asuka_cheets cheets,Google Dell Chromebook 13 3380
Asus Zenfone 5,Asus Zenfone 5 sp7731geahdrplusoversea sc7731 ASUS,ASUS sp7731geahdrplusoversea
ASUS-A86,qcom WW_PadFone ASUS-A86 PadFone T004 asus,Asus PadFone T004
ASUS-K00S,ASUS K00S qcom CN_epad ASUS-K00S asus,ASUS K00S
Asus,qcom Fortune ship Asus,Fortune ship Asus
ASUS_A001,ASUS_A001 qcom WW_Phone asus,ASUS_A001
ASUS_A006,qcom VZW_ASUS_A006 ASUS_A006 asus,ASUS_A006
ASUS_A007,qcom WW_Phone ASUS_A007 asus ZB501KL,Asus ZB501KL
ASUS_A009,qcom ASUS_A009 VZW_ASUS_A009 asus,ASUS_A009
ASUS_ME173X,ASUS_ME173X ME173X ASUS mt8125,ASUS_ME173X
ASUS_P00J,qcom VZW_ASUS_P00J ASUS_P00J asus,ASUS_P00J
ASUS_P028_1,mt8163 P028 WW_P028 ASUS_P028_1 asus,Asus P028
ASUS_T00F,ASUS_T00F WW_a500cg redhookbay asus,ASUS_T00F
ASUS_T00G,ASUS_T00G CUCC_a600cg redhookbay asus,ASUS_T00G
ASUS_T00I,ASUS_T00I WW_ZenFone redhookbay asus,ASUS_T00I
ASUS_T00J,ASUS_T00J WW_a501cg redhookbay asus,ASUS_T00J
ASUS_T00J1,ASUS_T00J-D WW_a501cg redhookbay asus ASUS_T00J1,ASUS_T00J-D
ASUS_T00P,qcom WW_Phone ASUS_T00P asus,ASUS_T00P
ASUS_T00Q,WW_ZenFone ASUS_T00Q redhookbay asus,ASUS_T00Q
ASUS_X007D,qcom WW_Phone asus ASUS_X007D,ASUS_X007D
ASUS_X008,WW_Phone ASUS_X008 mt6735 ASUS_X008D asus,ASUS_X008D
ASUS_X008_1,ASUS_X008_1 mt6735 ID_Phone asus ASUS_X008DA,ASUS_X008DA
ASUS_X00AD_2,qcom ASUS_X00AD WW_Phone ASUS_X00AD_2 asus,ASUS_X00AD
ASUS_X00BD_1,ASUS_X00BD qcom WW_Phone asus ASUS_X00BD_1,ASUS_X00BD
ASUS_X00DD,ASUS_X00DD qcom WW_Phone asus,ASUS_X00DD
ASUS_X00G_1,ASUS_X00G_1 mt6755 asus IN_X00G ASUS_X00GD,ASUS_X00GD
ASUS_X00HD_1,ASUS_X00HD_1 qcom WW_Phone ASUS_X00HD asus,ASUS_X00HD
ASUS_X00ID,qcom ZC554KL WW_Phone asus ASUS_X00ID,Asus ZC554KL
ASUS_X00IDB,qcom WW_Phone asus ASUS_X00ID ASUS_X00IDB,ASUS_X00ID
ASUS_X00T_2,ASUS_X00TD qcom WW_X00TD asus ASUS_X00T_2,ASUS_X00TD
ASUS_X013D_1,ASUS_X013D qcom WW_Phone ASUS_X013D_1 asus,ASUS_X013D
ASUS_X013D_2,ASUS_X013D_2 qcom WW_Phone ASUS_X013DA asus,ASUS_X013DA
ASUS_X014D_1,ASUS_X014D qcom WW_Phone ASUS_X014D_1 asus,ASUS_X014D
ASUS_X015_1,ASUS_X015D mt6755 ASUS_X015_1 asus CN_X015,ASUS_X015D
ASUS_X018_4,ASUS_X018_4 mt6755 WW_X018 asus ASUS_X018D,ASUS_X018D
ASUS_Z007,ASUS_Z007 WW_zc451cg redhookbay asus,ASUS_Z007
ASUS_Z00AD,samsung sc8830 ASUS_Z00AD aus,Samsung ASUS_Z00AD
ASUS_Z00D,Z00D ASUS_Z00D WW_Phone redhookbay asus,Asus Z00D
ASUS_Z00E_1,qcom WW_Phone ASUS_Z00E_1 ASUS_Z00ED asus,ASUS_Z00ED
ASUS_Z00E_2,lineage_Z00ED qcom ASUS_Z00E_2 ASUS_Z00ED asus,ASUS_Z00ED
ASUS_Z00L,qcom ASUS_Z00LD lineage_Z00L ASUS_Z00L asus,ASUS_Z00LD
ASUS_Z00L_63,qcom ASUS_Z00LD WW_Z00L asus ASUS_Z00L_63,ASUS_Z00LD
ASUS_Z00L_93,qcom ASUS_Z00LD WW_Z00L ASUS_Z00L_93 asus,ASUS_Z00LD
ASUS_Z00M,ASUS_Z00MD qcom ASUS_Z00M WW_Z00M asus,ASUS_Z00MD
ASUS_Z00SD,mt6580 WW_Phone ASUS_Z00SD asus,ASUS_Z00SD
ASUS_Z00T,lineage_Z00T ASUS_Z00T qcom asus ASUS_Z00TD,ASUS_Z00TD
ASUS_Z00U,ASUS_Z00U lineage_Z00T qcom ASUS_Z00UD asus,Asus Z00T
ASUS_Z00U_1,WW_Z00U qcom ASUS_Z00U_1 ASUS_Z00UD asus,ASUS_Z00UD
ASUS_Z00U_2,WW_Z00U qcom ASUS_Z00U_2 ASUS_Z00UD asus,ASUS_Z00UD
ASUS_Z00VD,mt6580 WW_Phone asus ASUS_Z00VD,ASUS_Z00VD
ASUS_Z010,qcom ASUS_Z010D WW_Phone asus ASUS_Z010,ASUS_Z010D
ASUS_Z010D,qcom ASUS_Z010D asus lineage_Z010D,ASUS_Z010D
ASUS_Z010_2,qcom WW_Phone ASUS_Z010_2 asus ASUS_Z010DD,ASUS_Z010DD
ASUS_Z011,qcom ASUS_Z011D asus WW_Z011 ASUS_Z011,ASUS_Z011D
ASUS_Z012D,qcom WW_Phone ASUS_Z012D asus ASUS_Z012DC,ASUS_Z012DC
ASUS_Z017D_1,ASUS_Z017D_1 qcom WW_Phone asus ASUS_Z017D,ASUS_Z017D
ASUS_Z01F_1,WW_Z01F qcom ASUS_Z01F_1 ASUS_Z01FD asus,ASUS_Z01FD
ASUS_Z01H_1,WW_Z01H qcom ASUS_Z01H_1 asus ASUS_Z01HD,ASUS_Z01HD
ASUS_Z01KDA,ASUS_Z01KD qcom ASUS_Z01KDA WW_Z01KDA asus,ASUS_Z01KD
AT101-1117-HW,sun8i AT101-1117 AT101-1117-HW ONIX,AT101-1117
athene,qcom Motorola Moto G4/Plus athene Moto G4,Motorola Moto G4/Plus
athene_f,athene_f qcom Moto G4 Plus Motorola unknown,Motorola unknown
athene_t,Moto G (4) athene_t qcom motorola,Motorola Moto G (4)
ATHOS(QA4928),mt6580 alps ATHOS(QA4928),Alps ATHOS(QA4928)
Atlantic4G,Atlantic4G Oysters sc9832a,Oysters Atlantic4G
Atom_2X,Atom 2X Atom_2X Lava sc8830,Lava Atom 2X
austin,KFAUWI austin mt8127 Amazon,Amazon KFAUWI
aviva,Z992 aviva qcom ZTE P752A15,ZTE Z992
Avvio792,Avvio 792 Avvio792 Avvio mt6572,Avvio 792
Avvio_793,Avvio_793 Brightstar mt6572,Brightstar Avvio_793
Avvio_795,Avvio_795 mt6582,Avvio_795
Avvio_A400,Avvio_A400 Avvio 1611_hd405,Avvio_A400
Avvio_Q797,Avvio Q797 mt6580 Brighstar Avvio_Q797 Brightstar,Brightstar Avvio Q797
AW790,AW790 mt6735 AIWA,AIWA AW790
AX1060,mt6752 AX1060 BMOBILE,BMOBILE AX1060
AXE_M_LTE_OPM,mt6752 myPhone HAMMER_AXE_M_LTE AXE_M_LTE_OPM,MyPhone HAMMER_AXE_M_LTE
axon7,qcom P996A03_O ZTE ZTE Axon 7 axon7,ZTE P996A03_O
B1-711,acer B1-711_ww_gen1 B1-711 mt8389,Acer B1-711
B1-A71,mt6517 B1-A71_ww_gen1 acer B1-A71,Acer B1-A71
B1,LG-F350S b1_skt_kr LGE lge b1,LGE LG-F350S
b1w,LG-D838 b1w LGE lge b1w_open_hk,LGE LG-D838
B2,B2 FinePower B2 sc7730 FinePower,FinePower B2
b2lds,LG-D690 b2lds LGE b2lds_global_com lge,LGE LG-D690
b2lss,b2lss LG-D693TR b2lss_global_com LGE lge,LGE LG-D693TR
b2lssn,LG-D693n b2lssn_global_com LGE lge b2lssn,LGE LG-D693n
B2N_sprout,qcom HMD Global Nokia 7 plus Onyx_00WW Nokia B2N_sprout,HMD Global Nokia 7 plus
b3,b3 LG-V522 b3_rgs_ca LGE lge,LGE LG-V522
B6000,Lenovo LENOVO Lenovo B6000-HV B6000 LenovoB6000-HV mt8389,Lenovo B6000-HV
B8000,Lenovo LENOVO B8000 LenovoB8000-F mt8389 Lenovo B8000-F,Lenovo B8000-F
B8504,bitel mt6582 B8504,Bitel B8504
B8602,mt6580 Bitel B8602,Bitel B8602
b86v_1024x600_2g,alps mt6572 C124 b86v_1024x600_2g,Alps C124
B9502,mt6735 Bitel B9502,Bitel B9502
B9504,sp9832a_2h11 Bitel B9504,Bitel B9504
ba101,amlogic ba101 FLNET Foxconn,Foxconn ba101
bacon,bacon OnePlus A0001 oneplus aosp_bacon,OnePlus A0001
baffin,GT-I9082 samsung baffin baffinxx capri Samsung,Samsung GT-I9082
baffinlite,samsung java_ss_baffinlite GT-I9060L baffinliteub baffinlite,Samsung GT-I9060L
baffinlitedtv,samsung java_ss_baffinlite GT-I9063T baffinlitedtvvj baffinlitedtv,Samsung GT-I9063T
baffinss,samsung GT-I9080L baffinssvj baffinss capri_ss_baffin,Samsung GT-I9080L
bardock-pro,qcom Aquaris X Pro bardock-pro bq,Bq Aquaris X Pro
bardock,Aquaris X qcom bardock bq,Bq Aquaris X
bardockpro,qcom bardockpro Aquaris X Pro bardock-pro bq,Bq Aquaris X Pro
Basco XS1,Basco XS1 Jinga mt6572,Basco XS1
bassoon,Sony alps F3311 full_bassoon mt6735 bassoon,Alps F3311
Bay,mt6753 Bay HighScreen Vobis,Vobis Bay
BB2,amlogic BB2 Amlogic VS q20x,VS BB2
BB2_PRO,amlogic BB2 PRO BB2_PRO Amlogic VS q20x,VS BB2 PRO
bbb100,BBB100-1 bbb100global bbb100 qcom blackberry BlackBerry,BlackBerry BBB100-1
bbc100,bbc100 BBC100-1 qcom blackberry BlackBerry bbc100global,BlackBerry BBC100-1
bbd100,bbd100 qcom blackberry BlackBerry BBD100-2 bbd100americas,BlackBerry BBD100-2
bbk82_wet_jb5,vivo Y15T bbk82_wet_jb5 BBK vivo mt6582,BBK vivo Y15T
bcm4335,amlogic MBX bcm4335 M8S,MBX M8S
bd6735m_35gc_c_l1,Bmobile alps bd6735m_35gc_c_l1 mt6735 AX1065,Alps AX1065
bd6737t_36g_c_n,C1_Max full_bd6737t_36g_c_n Elephone bd6737t_36g_c_n mt6735,Elephone C1_Max
Beeline Smart 3,Beeline Beeline Smart 3 mt6572,Beeline Smart 3
BeelineTabPro,Beeline mt8382 Beeline Tab Pro BeelineTabPro Topwise,Topwise Beeline Tab Pro
Beetle_GSM,Beetle_GSM TCT Beetle mt6575 ALCATEL ONE TOUCH 4030D,TCT ALCATEL ONE TOUCH 4030D
Beetle_Lite_GSM,Beetle_Lite TCT ALCATEL ONE TOUCH 4010A Beetle_Lite_GSM mt6575,TCT ALCATEL ONE TOUCH 4010A
belaus,madison TV628_T2 BELAUS belaus KTC full_belaus,KTC TV628_T2
Benefit_M503,Ark_Electronic_Technology mt6735 ARK Benefit_M503,Ark_Electronic_Technology Benefit_M503
Benefit_M505,Ark Electronic Technology mt6580 Benefit_M505 ARK,Ark Electronic Technology Benefit_M505
benefit_m7,mt6735 cm_benefit_m7 ark benefit_m7,Ark benefit_m7
Benefit_M8,ARK Benefit M8 Benefit_M8 mt6735 ARK,ARK Benefit M8
Benefit_S401,Ark Electronic Technology mt6580 Benefit_S401 ARK,Ark Electronic Technology Benefit_S401
Benefit_S502_Plus,Benefit_S502_Plus sp7731gea_hdrplus_dt sc8830 ARK,ARK Benefit_S502_Plus
beni,beni cm_beni samsung gt-s5670board Samsung GT-S5670,Samsung GT-S5670
benz,Z861BL benz qcom ZTE,ZTE Z861BL
BF167,mt6735 Boost 3 Pro SE BF167 Highscreen,Highscreen Boost 3 Pro SE
Bigben-TAB,Cellon gs702c Bigben-TAB BB8252 Bigben,Cellon BB8252
birch,HP Slate 7 Plus white Hewlett-Packard birch hp,Hewlett-Packard HP Slate 7 Plus
BIRD,Bmobile alps AX512 BIRD vh015c_72_w_emmc_ax535_claro_colombia mt6572,Alps vh015c_72_w_emmc_ax535_claro_colombia
bird16_a10y,bird16_a10y yusu mt6516 unknown Android,Unknown Android
bird6580_weg_b_l,mt6580 alps Haier A41 Haier_A41 bird6580_weg_b_l full_bird6580_weg_b_l,Haier A41 Haier_A41
bird77_a_twn_jb,N1 NEWMAN bird77_a_twn_jb mt6577,NEWMAN N1
bird82_wet_a_jb5,bird82_wet_a_jb5 Quest__507 Quest 507 mt6582,Quest__507 Quest 507
bird89_wet_a_jb2,W100 bird89_wet_a_jb2 ThL mt6589,ThL W100
BITEL B8409,BITEL BITEL B8409 mt6572,BITEL B8409
BL5000,BL5000 DOOGEE mt6755,DOOGEE BL5000
BLACK-1X,BLACK-1X XOLO BLACK-1XM mt6735 XOLO_BLACK-1XM,XOLO BLACK-1XM
blackg,blackg LG-P970 LGE lge blackg_open_cis,LGE LG-P970
blackphone,BP1 NVIDIA blackphone ceres SGP,NVIDIA BP1
Blackview,mt6755 BV6000 Blackview,Blackview BV6000
Blade A510,Blade A510 mt6735 P635A50_RU_CHANNEL ZTE SnowCatPDA,ZTE P635A50_RU_CHANNEL
Blade L3,ZTE Blade L3 mt6582,ZTE Blade L3
blade,ZTE-BLADE P729_GENERIC ZTE blade,ZTE-BLADE
BladeA3,BladeA3 ZTE T220 ZTE T220 scx15,ZTE T220
Blade_L2_Plus,Blade_L2_Plus Blade L2 Plus mediatek mt6582,Mediatek Blade L2 Plus
Blade_L3_Plus,Blade_L3_Plus ZTE Blade L3 Plus mt6582,ZTE Blade L3 Plus
blaze,blaze f11ell omap4430 F-08D DOCOMO FUJITSU,FUJITSU F-08D
BLU DASH J,BLU mt6571 BLU DASH J,BLU DASH J
BLU STUDIO 5.0 C HD,BLU STUDIO 5.0 C HD BLU mt6582,BLU STUDIO 5.0 C HD
blu,BLU STUDIO 5.0K STUDIO 5.0K BLU mt6571,BLU STUDIO 5.0K
Bluboo S1,BLUBOO Bluboo S1 mt6757,Bluboo S1
BLUBOO,BLUBOO mt6580 Picasso,BLUBOO Picasso
BlubooS8,BLUBOO BlubooS8 mt6755,BlubooS8
BLU_ADVANCE_4.0_L2,mt6580 BLU_ADVANCE_4.0_L2 BLU BLU ADVANCE 4.0 L2,BLU ADVANCE 4.0 L2
BLU_ADVANCE_4_0_L2,mt6580 BLU BLU_ADVANCE_4_0_L2 BLU ADVANCE 4.0 L2,BLU ADVANCE 4.0 L2
BLU_Advance_5.0,mt6580 BLU_Advance_5.0 BLU BLU Advance 5.0,BLU Advance 5.0
BLU_DASH_L2,mt6580 Dash L2 BLU BLU_DASH_L2,BLU Dash L2
BLU_DASH_M,mt6580 BLU BLU DASH M BLU_DASH_M,BLU DASH M
BLU_DASH_M2,mt6580 BLU DASH M2 BLU BLU_DASH_M2,BLU DASH M2
BLU_DASH_X,BLU DASH X mt6580 BLU_DASH_X BLU,BLU DASH X
BLU_DIAMOND_M,mt6580 BLU DIAMOND M BLU_DIAMOND_M,BLU DIAMOND M
BLU_ENERGY_XL,ENERGY XL mt6735 BLU_ENERGY_XL BLU,BLU ENERGY XL
BLU_Energy_X_2,mt6580 BLU Energy X 2 BLU_Energy_X_2,BLU Energy X 2
BLU_ENERGY_X_PLUS_2,mt6580 BLU_ENERGY_X_PLUS_2 BLU BLU ENERGY X PLUS 2,BLU ENERGY X PLUS 2
BLU_GRAND_5_5_HD,mt6580 BLU BLU GRAND 5.5 HD BLU_GRAND_5_5_HD,BLU GRAND 5.5 HD
BLU_LIFE_XL,BLU_LIFE_XL mt6592 BLU LIFE XL BLU,BLU LIFE XL
BLU_NEO_X,mt6580 BLU BLU_NEO_X BLU NEO X,BLU NEO X
BLU_NEO_X_LTE,BLU NEO X LTE BLU_NEO_X_LTE mt6735 BLU,BLU NEO X LTE
BLU_Pure_XR,mt6755 BLU_Pure_XR BLU Pure XR,BLU Pure XR
BLU_STUDIO_C_5_5_LTE,qcom BLU STUDIO C 5+5 LTE BLU BLU_STUDIO_C_5_5_LTE,BLU STUDIO C 5+5 LTE
BLU_STUDIO_G2,mt6580 BLU STUDIO G2 BLU BLU_STUDIO_G2,BLU STUDIO G2
BLU_STUDIO_SELFIE_2,BLU_STUDIO_SELFIE_2 mt6580 BLU BLU STUDIO SELFIE 2,BLU STUDIO SELFIE 2
BLU_Studio_Touch,mt6735 BLU BLU Studio Touch BLU_Studio_Touch,BLU Studio Touch
BLU_STUDIO_X8_HD,BLU_STUDIO_X8_HD BLU STUDIO X8 HD mt6592 BLU,BLU STUDIO X8 HD
BLU_VIVO_5,mt6735 BLU_VIVO_5 BLU VIVO 5,BLU VIVO 5
BLU_VIVO_AIR_LTE,qcom BLU VIVO AIR LTE BLU BLU_VIVO_AIR_LTE,BLU VIVO AIR LTE
BLU_VIVO_XL,VIVO XL BLU_VIVO_XL mt6735 BLU,BLU VIVO XL
Bmobile.AX620.Peru,Bmobile Bmobile_AX620 vh2005v03_72_w_emmc_gps_coclock_ax620_peru Bmobile.AX620.Peru mt6572,Bmobile.AX620.Peru vh2005v03_72_w_emmc_gps_coclock_ax620_peru
Bmobile.AX620,Bmobile.AX620 Bmobile Bmobile_AX620 vh2005v03_72_w_emmc_gps_coclock_ax620 mt6572,Bmobile.AX620 vh2005v03_72_w_emmc_gps_coclock_ax620
Bmobile.AX675,Bmobile.AX675 Bmobile AX675 mt6572,Bmobile AX675
Bmobile.AX680.HN,Bmobile Bmobile_AX680 Bmobile.AX680.HN mt6572,Bmobile_AX680
Bmobile,Bmobile BMOBILE AX1020 mt6735,BMOBILE AX1020
Bmobile_AX1010,Bmobile mt6735 Bmobile_AX1010 AX1010,Bmobile AX1010
Bmobile_AX675,Bmobile AX675 Bmobile_AX675 mt6572,Bmobile AX675
Bmobile_AX685,AX685 Bmobile Bmobile_AX685 mt6580,Bmobile AX685
Bmobile_AX820,Bmobile AX820 Bmobile_AX820 sp7731c_1h10,Bmobile AX820
