01v21_v89t_gq3008s,alps 01v21_v89t_gq3008s mt6589 N9599T,Alps N9599T
gelato_302-610,lge_gelato gelato_302-610 LGE lge gelato LG-P690b,LGE LG-P690b
gelato_cis-xx,lge_gelato LGE lge gelato LG-P690 gelato_cis-xx,LGE LG-P690
gemini,gemini Xiaomi qcom MI 5,Xiaomi MI 5
GENERAL_MOBILE,GM Discovery mt6589 GENERAL_MOBILE,GENERAL_MOBILE Discovery
generic,aosp_arm goldfish AOSP on ARM Emulator generic unknown Android,Unknown AOSP on ARM Emulator
generic_x86,Google generic_x86 ranchu Android SDK built for x86 sdk_gphone_x86 google,Google Android SDK built for x86
generic_x86_64,Android SDK built for x86_64 generic_x86_64 ranchu sdk_google_phone_x86_64 unknown Android,Unknown Android SDK built for x86_64
GF40B1G,Prestigio sc7731c PSP3423DUO GF40B1G,Prestigio PSP3423DUO
ghost,ghost qcom ghost_retasia motorola XT1052,Motorola XT1052
Ghostbox,amlogic bcm4335 Ghostbox Android,Amlogic Ghostbox
GhostBox_Pro+,p212 amlogic GhostBox_Pro+ GhostBox Amlogic,GhostBox_Pro+
ghost_retail,Moto X qcom motorola lineage_ghost ghost_retail,Motorola Moto X
ghost_sprint,Moto X qcom ghost_sprint motorola lineage_ghost,Motorola Moto X
ghost_verizon,Moto X aokp_ghost qcom motorola ghost_verizon,Motorola Moto X
giant,P821T05_TF qcom giant zte Z791G,Zte Z791G
giec_a,amlogic venz_a_oversea giec_a Android,Amlogic venz_a_oversea
gift,gift Z936L qcom ZTE,ZTE Z936L
gilda_p300s,java TrekStor SurfTab xiron 7.0 3G gilda_p300s SurfTab,TrekStor SurfTab xiron 7.0 3G
GINZZU RS91D,Kingbrand GINZZU mt6572 GINZZU RS91D,Kingbrand GINZZU RS91D
Ginzzu,sc8830 Ginzzu  Ginzzu GINZZU_S4010,GINZZU_S4010
Ginzzu_RS97D,Ginzzu_RS97D mt6735 Ginzzu,Ginzzu_RS97D
gio,cm_gio Samsung gio gt-s5660board GT-S5660,Samsung GT-S5660
Gionee,GIONEE GIONEE M3 mt6582 cm_GIONEE,GIONEE M3
GiONEE_BBL7332,GiONEE mt6735 M5_lite GiONEE_BBL7332,GiONEE M5_lite
GiONEE_CBL7513,S6 GiONEE mt6735 GiONEE_CBL7513,GiONEE S6
GIONEE_G1605A,GIONEE mt6735 GIONEE_G1605A GN5005,GIONEE GN5005
GiONEE_GBL7319,GiONEE GiONEE_GBL7319 mt6735 F103,GiONEE F103
GIONEE_GBL7358,GIONEE GIONEE_GBL7358 mt6735 F100,GIONEE F100
GIONEE_GBL7359,GIONEE GIONEE_GBL7359 mt6735 GN3003,GIONEE GN3003
GIONEE_GBL7360,GIONEE F103 Pro mt6735 GIONEE_GBL7360 F103_Pro,GIONEE F103 Pro
GIONEE_SWW1609,GIONEE A1 mt6755 GIONEE_SWW1609,GIONEE A1
GIONEE_SWW1618,GIONEE A1_lite A1 lite mt6735 GIONEE_SWW1618,GIONEE A1 lite
GIONEE_SWW1627,GIONEE GIONEE_SWW1627 mt6735 X1S,GIONEE X1S
GIONEE_SWW1631,GIONEE GIONEE_SWW1631 mt6735 X1 GIONEE X1,GIONEE X1
GIONEE_WBL5708,GIONEE P7 Max P7_Max GIONEE_WBL5708 mt6595,GIONEE P7 Max
GiONEE_WBL7352,GiONEE P5L mt6735 GiONEE_WBL7352,GiONEE P5L
GIONEE_WBL7519,GIONEE S6s mt6735 GIONEE_WBL7519,GIONEE S6s
GiONEE_WBW5615,mt6580 P5W GiONEE GiONEE_WBW5615,GiONEE P5W
GiONEE_WBW5617,P5_mini mt6580 GiONEE GiONEE_WBW5617 P5 mini,GiONEE P5 mini
giraffe,sprout giraffe Zera F aosp_giraffe Highscreen Mediatek,Mediatek Zera F
giza,mt8163 KFGIWI giza Amazon full_giza,Amazon KFGIWI
gl300e,DJI rk30board GL300E gl300e Android,DJI GL300E
globe_ap,globe_ATV globe globe_ap mt5891 Skyworth,Skyworth globe
gm4g_s_sprout,gm4g_s General Mobile 4G seed General Mobile google gm4g_s_sprout,General Mobile 4G
gm5plus_sprout,qcom General Mobile gm GM 5 Plus d gm5plus gm5plus_sprout,General Mobile GM 5 Plus d
gm5plus_s_sprout,gm5plus_s_sprout qcom General Mobile gm gm5plus_s GM 5 Plus,General Mobile GM 5 Plus
GO779,UCTCOM GO779 mt6572,UCTCOM GO779
GO984,GO984 mt6580 Gomobile,Gomobile GO984
goghvmu,samsung qcom SPH-L300 goghvmu,Samsung SPH-L300
golden,samsung cm_golden samsunggolden golden GT-I8190,Samsung GT-I8190
goldenltevzw,samsung goldenltevzw qcom Verizon SM-G730V,Samsung SM-G730V
goldenve3g,samsung pxa988 goldenve3g goldenve3gub GT-I8200L,Samsung GT-I8200L
goldenvess3g,samsung goldenvess3gxx goldenvess3g GT-I8200 pxa988,Samsung GT-I8200
golfu,HTC Desire C htc_golfu HTC htc_europe golfu,HTC Desire C
GOME,GOME GOME 2016G68A mt6757,GOME 2016G68A
Google Pixel XL 2,samsung qcom Google Pixel XL 2 SM-N950U1 greatqltesq,Samsung SM-N950U1
Gooweel,mt6580 Gooweel S8,Gooweel S8
goya3g,samsung goya3gxx goya3g pxa988 SM-T111,Samsung SM-T111
goyave3g5M,samsung SM-T116NY goyave3gdd sc8830 goyave3g5M,Samsung SM-T116NY
goyave3gsea,goyave3gdx samsung goyave3gsea sc8830 SM-T116NU,Samsung SM-T116NU
goyavewifi,samsung goyavewifi sc8830 SM-T113 goyavewifixx,Samsung SM-T113
goyavewifixtc,samsung sc8830 SM-T113NU goyavewifixtc,Samsung SM-T113NU
goyawifi,goyawifi samsung SM-T110 pxa988 goyawifiue,Samsung SM-T110
gpd_en,gpd_en mt8173 XD Plus GPD,GPD XD Plus
gprimeltecan,samsung qcom SM-G530W gprimeltecan lineage_gprimelte,Samsung SM-G530W
gprimeltemtr,samsung qcom SM-G530T1 gprimeltemtr,Samsung SM-G530T1
gprimeltetfnvzw,samsung SM-S920L gprimeltetfnvzw qcom,Samsung SM-S920L
